num_threads,t_cuda,memcpy_dth,memcpy_htd,t_kernel1,t_kernel2
8192,66462.812500,425.36,108.23,66.253,61.529
4096,67168.968750,429.24,123.75,123.45,107.49
2048,66934.640625,428.25,233.88,227.52,109.34
1024,67723.281250,428.82,107.91,265.59,311.51
512,67925.578125,429.27,107.97,580.68,499.14
256,69227.664062,430.34,108.35,737.16,715.43
128,71199.453125,432.66,109.61,1148.01,1156.10
64,70689.382812,428.69,108.17,1965.63,1907.45
32,73744.335938,431.88,108.93,3244.00,3849.88
16,78999.062500,425.35,108.42,5178.35,7117.20
8,89237.843750,429.48,109.32,8878.34,13377.0
4,111571.500000,428.84,108.65,17769.2,25754.9
2,142808.828125,428.76,107.67,33987.8,41678.9
1,209391.109375,433.34,109.32,69677.6,70756.5